latitude,longitude,state,district,elevation_m,slope_deg,susceptibility_score,rainfall_trigger,soil_moisture_trigger,risk_score,risk_level,nearest_road_km,nearest_settlement_km,exposure_score,command_priority_score,alert_level,alert_status,alert_message
24.975961,93.567983,Manipur,Tamenglong,929.4196166992188,50.38714447538731,100.0,100.0,70.0,95.5,CRITICAL,0.1315407209675105,0.4708846549114605,100.0,95.73791097725044,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.13 km; nearest settlement 0.47 km. Immediate field verification and preparedness recommended.
25.044778,92.430333,Meghalaya,East Jaintia Hills,268.1365966796875,49.03034119483847,100.0,100.0,70.0,95.5,CRITICAL,0.0049973932266222,0.3693196753215644,100.0,95.51743044416125,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.00 km; nearest settlement 0.37 km. Immediate field verification and preparedness recommended.
22.887474,92.836769,Mizoram,Lunglei,651.975341796875,48.68977445255456,100.0,100.0,70.0,95.5,CRITICAL,0.0058850768575613,0.2060568450822648,100.0,95.4620883485401,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.21 km. Immediate field verification and preparedness recommended.
22.867477,92.754234,Mizoram,Lunglei,1094.123779296875,48.11196820518831,100.0,100.0,70.0,95.5,CRITICAL,0.0166028576416978,0.4954813764095879,100.0,95.3681948333431,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.02 km; nearest settlement 0.50 km. Immediate field verification and preparedness recommended.
25.044136,92.430244,Meghalaya,Cachar,258.9646301269531,47.6353696625928,100.0,100.0,70.0,95.5,CRITICAL,0.00235239882022,0.3871152239345051,100.0,95.29074757017133,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.00 km; nearest settlement 0.39 km. Immediate field verification and preparedness recommended.
22.870546,92.752853,Mizoram,Lunglei,1071.259521484375,54.37432489778168,100.0,100.0,70.0,95.5,CRITICAL,0.0043774009565978,0.8266934696788979,96.0,95.17582779588952,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.00 km; nearest settlement 0.83 km. Immediate field verification and preparedness recommended.
23.70213889,92.71822222,Mizoram,Aizawl,1058.8265380859375,53.02220214561728,100.0,100.0,70.0,95.5,CRITICAL,0.0091266360837163,0.7366940357659107,96.0,94.95610784866281,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.74 km. Immediate field verification and preparedness recommended.
23.081023,92.897247,Mizoram,Hnahthial,730.9951171875,45.53508484879018,100.0,100.0,70.0,95.5,CRITICAL,0.0056525863637327,0.45044344927898,100.0,94.9494512879284,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.45 km. Immediate field verification and preparedness recommended.
24.7955,93.73605556,Manipur,Kangpokpi,1158.812744140625,52.864737882203535,100.0,100.0,70.0,95.5,CRITICAL,0.0117971315497453,0.9604690869875948,96.0,94.93051990585808,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.96 km. Immediate field verification and preparedness recommended.
24.7955,93.736056,Manipur,Kangpokpi,1158.812744140625,52.864737882203535,100.0,100.0,70.0,95.5,CRITICAL,0.0117971315497453,0.9604690869875948,96.0,94.93051990585808,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.96 km. Immediate field verification and preparedness recommended.
24.7955,93.736056,Manipur,Kangpokpi,1158.812744140625,52.864737882203535,100.0,100.0,70.0,95.5,CRITICAL,0.0118461052350709,0.9604351034042398,96.0,94.93051990585808,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.96 km. Immediate field verification and preparedness recommended.
24.7955,93.73605556,Manipur,Kangpokpi,1158.812744140625,52.864737882203535,100.0,100.0,70.0,95.5,CRITICAL,0.0118461052350709,0.9604351034042398,96.0,94.93051990585808,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.96 km. Immediate field verification and preparedness recommended.
23.054573,92.772578,Mizoram,Lunglei,978.6162719726562,45.25424521434286,100.0,100.0,70.0,95.5,CRITICAL,0.0087023983264843,0.3081070701687051,100.0,94.90381484733071,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.31 km. Immediate field verification and preparedness recommended.
23.70277778,92.72083333,Mizoram,Aizawl,888.9320068359375,52.42981521898747,100.0,100.0,70.0,95.5,CRITICAL,0.0352868867091632,0.7786272405897368,96.0,94.85984497308546,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.04 km; nearest settlement 0.78 km. Immediate field verification and preparedness recommended.
22.869707,92.753304,Mizoram,Lunglei,1078.029296875,50.51338315418645,100.0,100.0,70.0,95.5,CRITICAL,0.0090997346565447,0.7227742803122879,96.0,94.5484247625553,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.72 km. Immediate field verification and preparedness recommended.
23.70305556,92.72055556,Mizoram,Aizawl,871.669921875,47.78882516079027,100.0,100.0,70.0,95.5,CRITICAL,0.0146097620957902,0.7333501358557307,96.0,94.10568408862841,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.73 km. Immediate field verification and preparedness recommended.
22.837624,92.797165,Mizoram,Lunglei,1147.4981689453125,47.72992213414679,100.0,100.0,70.0,95.5,CRITICAL,0.0119962634266383,0.787920177425153,96.0,94.09611234679885,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.79 km. Immediate field verification and preparedness recommended.
22.83779,92.795959,Mizoram,Lunglei,1165.82861328125,47.70763826437221,100.0,100.0,70.0,95.5,CRITICAL,0.0263184437599215,0.9138150471091536,96.0,94.09249121796049,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.03 km; nearest settlement 0.91 km. Immediate field verification and preparedness recommended.
22.872238,92.750557,Mizoram,Lunglei,1062.6864013671875,47.24164766206783,100.0,100.0,70.0,95.5,CRITICAL,0.0068222454663587,0.6919544519610996,96.0,94.01676774508601,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.01 km; nearest settlement 0.69 km. Immediate field verification and preparedness recommended.
22.838051,92.798889,Mizoram,Lunglei,1159.1339111328125,47.03214763664192,100.0,100.0,70.0,95.5,CRITICAL,0.0293144739249582,0.669194849133308,96.0,93.98272399095431,IMMEDIATE ACTION,ACTIVE,CRITICAL landslide risk detected. Risk score 95.5%. Nearest road 0.03 km; nearest settlement 0.67 km. Immediate field verification and preparedness recommended.
